                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.4135,                0.78816,                 1.0846,                0.79283,                0.68531,                0.75956,                0.32113,                 2.0296,                 1.1731,                 1.4578,              0.0094192,              0.0094192,              0.0094192
                     91,                  1.338,                0.75457,                 1.0674,                0.82809,                0.69037,                0.77895,                0.32746,                 2.0331,                 1.1283,                 1.4534,              0.0094126,              0.0094126,              0.0094126
                     92,                 1.3967,                0.80267,                 1.0835,                0.78943,                0.68543,                0.75387,                0.31551,                 2.0526,                 1.0763,                 1.4625,               0.009406,               0.009406,               0.009406
                     93,                 1.3479,                0.76771,                 1.0675,                0.86001,                0.72815,                0.80258,                0.32706,                  2.034,                  1.002,                 1.4701,              0.0093994,              0.0093994,              0.0093994
                     94,                 1.3498,                0.75263,                 1.0683,                 0.8117,                0.72986,                0.80393,                0.33394,                 2.0474,                 1.0121,                 1.4622,              0.0093928,              0.0093928,              0.0093928
                     95,                  1.373,                0.76789,                 1.0706,                0.79239,                0.66221,                0.74282,                0.30401,                 2.0808,                 1.3057,                 1.4689,              0.0093862,              0.0093862,              0.0093862
                     96,                 1.3573,                0.78978,                 1.0576,                 0.8092,                0.68387,                0.77062,                0.31705,                 2.0493,                 1.1265,                 1.4488,              0.0093796,              0.0093796,              0.0093796
                     97,                  1.321,                0.74367,                 1.0537,                0.80342,                0.67812,                0.75113,                0.30457,                 2.0988,                 1.1171,                 1.4878,               0.009373,               0.009373,               0.009373
                     98,                 1.3461,                0.74727,                 1.0701,                0.79859,                0.72237,                0.77673,                0.31477,                 2.0628,                 1.0265,                 1.4947,              0.0093664,              0.0093664,              0.0093664
                     99,                 1.3476,                0.75785,                 1.0618,                0.80578,                0.73211,                0.77802,                0.32266,                 2.0241,                 1.0706,                 1.4468,              0.0093598,              0.0093598,              0.0093598
                    100,                 1.3655,                0.77599,                 1.0716,                0.85266,                0.72525,                0.79925,                0.34017,                 2.0077,                 1.0063,                 1.4334,              0.0093532,              0.0093532,              0.0093532
                    101,                 1.3526,                0.76581,                 1.0645,                 0.8278,                0.70177,                0.77795,                0.31675,                 2.0694,                 1.1154,                 1.4766,              0.0093466,              0.0093466,              0.0093466
                    102,                 1.3244,                0.75004,                 1.0542,                 0.7834,                0.68994,                0.73902,                0.30321,                 2.0737,                 1.1181,                 1.4781,                0.00934,                0.00934,                0.00934
                    103,                 1.3665,                 0.7662,                 1.0675,                 0.7874,                0.73887,                0.75725,                0.31763,                 2.0583,                 1.0717,                 1.4595,              0.0093334,              0.0093334,              0.0093334
                    104,                 1.3055,                0.75784,                 1.0494,                0.80589,                0.71563,                0.76432,                0.31269,                 2.1106,                 1.0401,                 1.4937,              0.0093268,              0.0093268,              0.0093268
                    105,                  1.359,                0.75935,                  1.059,                0.82689,                0.73666,                0.79492,                0.33774,                 2.0348,                0.99482,                 1.4615,              0.0093202,              0.0093202,              0.0093202
                    106,                 1.3629,                0.74813,                 1.0617,                0.84313,                0.76686,                0.82408,                0.34046,                 2.0063,                0.98555,                 1.4553,              0.0093136,              0.0093136,              0.0093136
                    107,                 1.3293,                0.75519,                 1.0613,                0.78297,                0.72697,                0.76436,                0.32227,                 2.0368,                  1.099,                 1.4648,               0.009307,               0.009307,               0.009307
                    108,                 1.3298,                0.75317,                 1.0641,                0.83338,                0.70191,                0.78424,                0.31744,                 2.0818,                 1.0237,                 1.5035,              0.0093004,              0.0093004,              0.0093004
                    109,                  1.293,                0.74684,                 1.0393,                0.83514,                0.69332,                0.75208,                0.30738,                 2.0703,                 1.0613,                 1.5105,              0.0092938,              0.0092938,              0.0092938
                    110,                  1.294,                 0.7358,                 1.0443,                0.82416,                0.71019,                0.78603,                0.32584,                  2.039,                  1.052,                 1.4625,              0.0092872,              0.0092872,              0.0092872
                    111,                 1.3055,                0.72414,                 1.0478,                 0.7839,                0.68865,                0.74941,                0.29868,                 2.1441,                 1.0765,                 1.5298,              0.0092806,              0.0092806,              0.0092806
                    112,                 1.3446,                0.76288,                  1.057,                0.80582,                0.67856,                0.74486,                 0.3148,                 2.0718,                 1.2922,                 1.4557,               0.009274,               0.009274,               0.009274
                    113,                 1.3271,                 0.7642,                 1.0605,                0.75792,                0.63165,                0.69688,                0.27666,                 2.1882,                 1.2557,                 1.5572,              0.0092674,              0.0092674,              0.0092674
                    114,                 1.3255,                0.74495,                 1.0493,                0.83477,                0.67553,                0.75909,                0.32242,                 2.0214,                 1.0777,                 1.4604,              0.0092608,              0.0092608,              0.0092608
                    115,                  1.309,                 0.7287,                 1.0482,                0.78901,                0.70846,                0.76502,                0.31202,                 2.0886,                  1.066,                 1.5201,              0.0092542,              0.0092542,              0.0092542
                    116,                 1.3101,                0.72703,                 1.0495,                0.85427,                0.73975,                0.81138,                0.33719,                 2.0266,                0.98297,                 1.4649,              0.0092476,              0.0092476,              0.0092476
                    117,                 1.3135,                0.72894,                 1.0538,                 0.8243,                0.75246,                0.80089,                0.33458,                 2.0626,                 1.0343,                 1.4694,               0.009241,               0.009241,               0.009241
                    118,                 1.3216,                0.72963,                 1.0509,                0.79648,                0.69573,                0.76127,                0.31999,                  2.086,                 1.0642,                 1.4817,              0.0092344,              0.0092344,              0.0092344
                    119,                 1.3061,                0.71918,                 1.0453,                0.78731,                0.70804,                0.76747,                0.31992,                 2.0726,                 1.0865,                 1.4836,              0.0092278,              0.0092278,              0.0092278
                    120,                 1.3118,                0.72095,                 1.0581,                0.82752,                0.72199,                0.78437,                0.33063,                 2.0441,                 1.0562,                 1.4642,              0.0092212,              0.0092212,              0.0092212
                    121,                 1.2983,                0.72899,                 1.0315,                0.80936,                0.73713,                0.78108,                0.33495,                 2.0163,                  1.024,                  1.468,              0.0092146,              0.0092146,              0.0092146
                    122,                  1.326,                0.74022,                 1.0447,                 0.8102,                0.73747,                0.78884,                0.34339,                 2.0101,                 1.0263,                  1.475,               0.009208,               0.009208,               0.009208
                    123,                 1.2945,                0.73673,                 1.0507,                0.82309,                0.73617,                0.78726,                0.33214,                 2.0408,                 1.0123,                 1.4954,              0.0092014,              0.0092014,              0.0092014
                    124,                 1.3046,                0.70941,                 1.0403,                0.76741,                0.68182,                0.76738,                0.31215,                   2.07,                 1.1413,                 1.5458,              0.0091948,              0.0091948,              0.0091948
                    125,                 1.2959,                0.71158,                 1.0544,                0.67454,                0.57189,                0.63886,                0.24201,                 2.2338,                 1.4723,                 1.6628,              0.0091882,              0.0091882,              0.0091882
                    126,                 1.3079,                0.72285,                 1.0424,                0.69201,                0.65729,                0.70685,                0.27686,                 2.1631,                 1.1669,                 1.5543,              0.0091816,              0.0091816,              0.0091816
                    127,                 1.2908,                0.71001,                 1.0459,                0.76409,                 0.7361,                0.75921,                0.30442,                 2.1511,                 1.0453,                 1.5484,               0.009175,               0.009175,               0.009175
                    128,                 1.2771,                0.70913,                 1.0347,                0.79965,                 0.7861,                 0.8153,                0.33541,                 2.0656,                0.94395,                 1.4927,              0.0091684,              0.0091684,              0.0091684
                    129,                 1.2793,                0.70656,                 1.0409,                0.82947,                0.75044,                0.79828,                0.33696,                 2.0539,                 0.9687,                 1.4659,              0.0091618,              0.0091618,              0.0091618
                    130,                 1.2671,                0.70189,                  1.033,                0.82948,                 0.7413,                0.79966,                0.32568,                 2.0656,                0.97599,                 1.4837,              0.0091552,              0.0091552,              0.0091552
                    131,                 1.2658,                0.70593,                 1.0336,                0.84379,                0.72631,                0.79713,                0.32768,                 2.0871,                 1.0176,                 1.5038,              0.0091486,              0.0091486,              0.0091486
                    132,                 1.2648,                0.70316,                 1.0291,                0.83058,                0.74595,                0.81316,                0.33853,                  2.047,                0.97401,                 1.4966,               0.009142,               0.009142,               0.009142
                    133,                 1.2575,                0.69182,                 1.0275,                0.78805,                0.68701,                  0.751,                0.30613,                 2.1013,                 1.1103,                  1.514,              0.0091354,              0.0091354,              0.0091354
