                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.85557,                0.41701,                0.86001,                0.87797,                0.78202,                0.82987,                0.36983,                 1.9314,                0.90788,                 1.3602,              0.0093466,              0.0093466,              0.0093466
                    102,                0.85614,                0.41208,                0.86079,                0.85514,                 0.8048,                0.82656,                0.36487,                 1.9548,                0.85915,                 1.3621,                0.00934,                0.00934,                0.00934
                    103,                0.84824,                0.41084,                 0.8596,                0.82514,                0.79547,                0.80615,                0.36697,                 1.8949,                0.92605,                 1.3469,              0.0093334,              0.0093334,              0.0093334
                    104,                0.81925,                  0.405,                0.85851,                0.82174,                  0.785,                0.81419,                0.36394,                 1.9901,                 1.0145,                 1.4063,              0.0093268,              0.0093268,              0.0093268
                    105,                0.83363,                0.40826,                0.85755,                0.83672,                0.79368,                0.82839,                0.37362,                 1.9555,                0.91462,                 1.3748,              0.0093202,              0.0093202,              0.0093202
                    106,                0.82526,                0.40028,                0.85233,                0.86565,                0.76945,                0.82167,                0.37308,                 1.9101,                0.96875,                 1.3706,              0.0093136,              0.0093136,              0.0093136
                    107,                0.82909,                 0.4019,                0.85568,                0.87586,                0.78705,                0.83178,                0.37835,                 1.9249,                 0.9492,                 1.3708,               0.009307,               0.009307,               0.009307
                    108,                0.81715,                0.40682,                 0.8565,                0.87559,                0.77748,                0.83364,                 0.3779,                 1.9208,                0.92149,                   1.36,              0.0093004,              0.0093004,              0.0093004
                    109,                0.81631,                0.40337,                0.85291,                0.85883,                0.79234,                0.81987,                0.36955,                 1.9284,                 0.8806,                 1.3621,              0.0092938,              0.0092938,              0.0092938
                    110,                0.81188,                0.39435,                0.84801,                0.87931,                  0.775,                0.82765,                0.37134,                 1.9388,                0.90442,                 1.3499,              0.0092872,              0.0092872,              0.0092872
                    111,                0.81112,                0.39826,                0.85249,                0.86643,                0.80037,                0.84361,                0.38087,                 1.9098,                0.88654,                  1.345,              0.0092806,              0.0092806,              0.0092806
                    112,                0.81949,                0.40818,                0.85311,                0.87957,                0.79064,                0.83882,                0.37607,                 1.9342,                0.92017,                 1.3734,               0.009274,               0.009274,               0.009274
                    113,                0.79779,                0.41009,                0.85428,                0.86276,                0.78755,                 0.8233,                0.38078,                 1.9125,                0.96468,                 1.3443,              0.0092674,              0.0092674,              0.0092674
                    114,                0.81478,                0.40562,                0.85292,                0.86801,                0.81177,                 0.8389,                0.38686,                 1.9123,                 0.8848,                 1.3454,              0.0092608,              0.0092608,              0.0092608
                    115,                0.80185,                0.39384,                0.85317,                0.86371,                0.79774,                 0.8348,                0.38335,                 1.9095,                0.86174,                 1.3466,              0.0092542,              0.0092542,              0.0092542
                    116,                0.80996,                0.39865,                0.85331,                 0.8306,                0.80528,                0.82972,                0.38135,                 1.9106,                0.91582,                 1.3539,              0.0092476,              0.0092476,              0.0092476
                    117,                0.81381,                0.39994,                 0.8574,                0.83315,                0.79778,                0.82618,                0.37992,                 1.8947,                0.89812,                 1.3412,               0.009241,               0.009241,               0.009241
                    118,                  0.802,                0.39427,                0.85196,                0.85149,                0.77737,                0.83366,                0.37822,                 1.9273,                0.97977,                 1.3551,              0.0092344,              0.0092344,              0.0092344
                    119,                0.78724,                0.38621,                0.84671,                0.85624,                0.80333,                0.83746,                0.38277,                 1.9289,                0.88836,                 1.3723,              0.0092278,              0.0092278,              0.0092278
                    120,                0.79225,                  0.391,                0.85397,                0.88432,                0.80421,                0.84165,                 0.3878,                 1.8705,                0.84775,                 1.3422,              0.0092212,              0.0092212,              0.0092212
                    121,                0.78752,                0.39254,                0.85045,                0.86886,                0.81966,                 0.8408,                0.38642,                 1.8823,                0.83585,                 1.3377,              0.0092146,              0.0092146,              0.0092146
                    122,                0.80787,                0.39023,                0.84986,                 0.8472,                  0.821,                0.84345,                0.37868,                 1.9421,                0.83773,                 1.3689,               0.009208,               0.009208,               0.009208
                    123,                0.79429,                0.39564,                0.84819,                0.87908,                 0.7947,                0.85005,                0.38994,                 1.8946,                0.85128,                 1.3529,              0.0092014,              0.0092014,              0.0092014
                    124,                0.76112,                0.43012,                0.84806,                0.86098,                 0.7926,                0.83207,                0.38186,                 1.9143,                0.92942,                 1.3607,              0.0091948,              0.0091948,              0.0091948
                    125,                0.78702,                0.39812,                0.84746,                0.86921,                0.80191,                0.84147,                0.38845,                 1.9163,                0.97618,                 1.3483,              0.0091882,              0.0091882,              0.0091882
                    126,                0.78028,                0.38484,                0.85057,                0.85558,                0.81223,                0.84356,                0.38015,                 1.9807,                0.98628,                 1.3781,              0.0091816,              0.0091816,              0.0091816
                    127,                0.78507,                0.38818,                0.84767,                 0.8674,                0.80813,                0.84093,                0.37127,                 1.9629,                0.92774,                 1.3875,               0.009175,               0.009175,               0.009175
                    128,                0.79338,                0.39406,                0.84972,                0.86207,                0.81763,                0.83758,                0.36218,                 2.0153,                0.92366,                 1.4034,              0.0091684,              0.0091684,              0.0091684
                    129,                0.78248,                0.39165,                0.85052,                0.86626,                0.81407,                0.84543,                0.37997,                 1.9383,                0.88395,                 1.3764,              0.0091618,              0.0091618,              0.0091618
                    130,                0.77272,                0.38447,                0.85163,                0.84328,                0.77527,                0.82418,                 0.3659,                 1.9861,                 0.9768,                 1.4139,              0.0091552,              0.0091552,              0.0091552
                    131,                0.77909,                0.38372,                0.84408,                0.86398,                0.78274,                0.82213,                0.36583,                 1.9572,                0.94411,                 1.3962,              0.0091486,              0.0091486,              0.0091486
                    132,                0.77162,                0.38481,                0.84379,                0.85019,                0.78306,                 0.8261,                0.36682,                 1.9585,                0.92175,                 1.4036,               0.009142,               0.009142,               0.009142
                    133,                0.78479,                0.39417,                0.84511,                0.85037,                0.79201,                0.82798,                0.37125,                 1.9531,                   0.91,                 1.3783,              0.0091354,              0.0091354,              0.0091354
